replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,0.6875,0.6457899305555556,0.7638888888888888,1.0,5.960464477539063e-08,0.04012609366327524,0.04364081146195531,5741
1,DCLP5/81,outlier,4,0.6875,0.6875,1.0,1.0,0.0625,0.14781893603503704,0.14974061399698257,5741
1,DCLP3/91,outlier,10,0.59,0.53,0.72,0.9,0.001953125,0.1726960211992264,0.1798513725399971,5741
1,Loop/633,outlier,5,0.64,0.64,0.84,1.0,0.03125,0.18946268856525422,0.19574762284755706,5741
1,DCLP5/52,outlier,9,0.6049382716049383,0.5185185185185185,0.7654320987654321,0.8888888888888888,0.00390625,0.17911283092366326,0.1898804580171903,5741
1,Loop/100,outlier,5,0.56,0.32,0.84,0.6,0.15625,0.15474786460399628,0.1588443011045456,5741
1,Loop/19,outlier,14,0.5357142857142857,0.4897959183673469,0.6224489795918368,0.7857142857142857,0.00537109375,0.1567383376615388,0.16176787710615567,5741
1,Loop/1153,outlier,19,0.4986149584487535,0.4404432132963989,0.554016620498615,0.47368421052631576,0.23265838623046875,0.05513522205384154,0.05532071719828405,5741
1,Loop/342,outlier,5,0.6,0.32,0.84,0.6,0.40625,0.05606248080730438,0.05602495297789574,5741
1,Loop/467,outlier,11,0.5371900826446281,0.47107438016528924,0.6363636363636364,0.7272727272727273,0.00927734375,0.0623460053042932,0.06340927901593121,5741
1,Loop/727,outlier,22,0.5268595041322314,0.5,0.5723140495867769,0.7727272727272727,0.0012524127960205078,0.09648233431984078,0.0975064171308821,5741
1,Loop/1120,outlier,4,0.5625,0.25,0.8125,0.75,0.1875,0.057654427364468575,0.058018676936626434,5741
1,Loop/968,outlier,5,0.48,0.24,0.68,0.4,0.59375,0.07334036156535148,0.07415121868252754,5741
1,Loop/317,control,24,0.5121527777777778,0.4861111111111111,0.5486111111111112,0.6666666666666666,0.019740819931030273,0.10483011851708095,0.10541307025899489,5741
1,DCLP3/114,control,4,0.5625,0.25,0.8125,0.75,0.3125,0.14178896136581898,0.14334113895893097,5741
1,DCLP3/111,control,10,0.55,0.51,0.66,0.9,0.0029296875,0.1067257709801197,0.10784770250320434,5741
1,DCLP3/135,control,5,0.6,0.36,0.84,0.8,0.0625,0.07050711885094643,0.07183576300740242,5741
1,DCLP3/102,control,9,0.5555555555555556,0.49382716049382713,0.6790123456790124,0.8888888888888888,0.02734375,0.11002973053190443,0.1120632646812333,5741
1,DCLP3/171,control,5,0.6,0.6,0.84,1.0,0.03125,0.08143995553255082,0.08275582641363144,5741
1,DCLP3/134,control,14,0.5204081632653061,0.45918367346938777,0.6071428571428571,0.5714285714285714,0.0594482421875,0.10070489400199481,0.1013563344521182,5741
1,Loop/1116,control,19,0.5124653739612188,0.47368421052631576,0.5623268698060941,0.631578947368421,0.05668830871582031,0.10400627122113579,0.1047369269163985,5741
1,DCLP3/43,control,5,0.52,0.32,0.76,0.6,0.59375,0.10079111456871033,0.10065560638904572,5741
1,DCLP3/10,control,11,0.5537190082644629,0.512396694214876,0.6528925619834711,0.9090909090909091,0.00244140625,0.09578252786939795,0.09747243130748923,5741
1,Loop/1071,control,22,0.5206611570247934,0.49173553719008267,0.5661157024793388,0.7272727272727273,0.016447067260742188,0.10259730538183992,0.10339920967817307,5741
1,DCLP3/144,control,4,0.5625,0.25,0.8125,0.75,0.125,0.13439151272177696,0.13584560342133045,5741
1,DCLP3/68,control,5,0.64,0.64,0.84,1.0,0.03125,0.09844320714473724,0.10104301273822784,5741
