replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,1.0,1.0,1.0,1.0,5.960464477539063e-08,0.04137056848655144,0.07224454917013645,5741
1,DCLP5/81,outlier,4,0.5,0.1875,0.8125,0.5,0.5625,0.28025030344724655,0.2823082357645035,5741
1,DCLP3/91,outlier,10,0.85,0.74,1.0,1.0,0.0009765625,0.1257074937224388,0.23876304626464845,5741
1,Loop/633,outlier,5,0.44,0.16,0.68,0.4,0.6875,0.27055333852767943,0.2697189301252365,5741
1,DCLP5/52,outlier,9,0.6790123456790124,0.49382716049382713,0.9012345679012346,0.7777777777777778,0.009765625,0.21116332875357735,0.30688487158881295,5741
1,Loop/100,outlier,5,0.52,0.32,0.76,0.6,0.3125,0.269767165184021,0.27221283316612244,5741
1,Loop/19,outlier,14,0.673469387755102,0.5714285714285714,0.8163265306122449,0.8571428571428571,0.00152587890625,0.1784601876778262,0.22371780340160644,5741
1,Loop/1153,outlier,19,0.6952908587257618,0.6204986149584487,0.8254847645429363,0.9473684210526315,5.7220458984375e-06,0.07301100755208417,0.07690747356728504,5741
1,Loop/342,outlier,5,0.88,0.76,1.0,1.0,0.03125,0.0691213771700859,0.07637237459421158,5741
1,Loop/467,outlier,11,0.7603305785123967,0.6859504132231405,0.9008264462809917,1.0,0.00048828125,0.07540232620456001,0.08000238849358125,5741
1,Loop/727,outlier,22,0.6322314049586777,0.5867768595041323,0.7252066115702479,0.9545454545454546,4.76837158203125e-07,0.11305888776074756,0.11799663576212796,5741
1,Loop/1120,outlier,4,0.4375,0.1875,0.8125,0.5,0.4375,0.08463382348418236,0.08659965731203556,5741
1,Loop/968,outlier,5,0.64,0.36,0.9209999999999946,0.8,0.0625,0.08612786680459976,0.08904053717851639,5741
1,Loop/317,control,24,0.6753472222222222,0.5798611111111112,0.78125,0.75,0.0004813075065612793,0.14950364952286085,0.15946873525778452,5741
1,DCLP3/114,control,4,0.8125,0.75,1.0,1.0,0.0625,0.1677646841853857,0.22781000286340714,5741
1,DCLP3/111,control,10,0.94,0.8,1.0,0.9,0.001953125,0.14427255168557168,0.185961551964283,5741
1,DCLP3/135,control,5,0.52,0.32,0.76,0.6,0.21875,0.11930647641420364,0.12109936624765397,5741
1,DCLP3/102,control,9,0.7530864197530864,0.5802469135802469,0.9506172839506173,0.8888888888888888,0.013671875,0.14653969556093216,0.15777001612716252,5741
1,DCLP3/171,control,5,0.52,0.32,0.76,0.6,0.3125,0.12125483453273773,0.12143892794847488,5741
1,DCLP3/134,control,14,0.6020408163265306,0.5255102040816326,0.7244897959183674,0.8571428571428571,0.00115966796875,0.140534337077822,0.1454269742327077,5741
1,Loop/1116,control,19,0.631578947368421,0.5318559556786704,0.7451523545706371,0.6842105263157895,0.002288818359375,0.14872540337474724,0.15410769534738442,5741
1,DCLP3/43,control,5,0.52,0.32,0.76,0.6,0.3125,0.18058438897132872,0.18165861070156097,5741
1,DCLP3/10,control,11,0.6115702479338843,0.5289256198347108,0.7355371900826446,0.9090909090909091,0.00244140625,0.14729317819530313,0.15575850280848416,5741
1,Loop/1071,control,22,0.6342975206611571,0.5805785123966942,0.737603305785124,0.9545454545454546,7.152557373046875e-07,0.14403444291515785,0.1513920822604136,5741
1,DCLP3/144,control,4,0.875,0.75,1.0,1.0,0.0625,0.14942066185176373,0.19125103950500488,5741
1,DCLP3/68,control,5,0.64,0.4,0.88,0.8,0.0625,0.1481870800256729,0.15471894145011902,5741
