,cgm_only,multi
Loop,672,652
DCLP3,92,92
DCLP5,26,26
AZT1D,23,23
ReplaceBG,18,18
BrisT1D,14,0
Flair,11,11
CTR3,7,7
OhioT1DM,6,5
T1D-UOM,6,0
