target,n_windows,z_rep1,z_rep2,z_rep3,z_mean,z_sd,pct_vs_null,n_above
569,223,11.909413784028734,3.2391184133875695,10.59257139614537,8.580367864520559,4.672282926263448,100.0,3
1142,363,7.5661440043384225,7.585362671611475,3.7311741268539897,6.294226934267962,2.2196896426048895,100.0,3
186,84,7.208058844118033,1.7635395294428098,5.781895322833375,4.917831232131406,2.8232344406014804,98.33333333333333,3
973,67,5.2472463769258875,0.1229142253418086,0.9639753927216581,2.1113786649964514,2.748107658345967,93.33333333333333,3
263,273,3.0773029617511933,0.3969024137372411,2.386112884351073,1.9534394199465026,1.3915967517741135,93.33333333333333,3
329,123,4.176185229485713,1.6863829558366379,-0.042880666494316294,1.9398958396093449,2.1209268835427846,93.33333333333333,2
936,206,3.4014688512622153,0.8486301166664297,0.1543800839736711,1.468159683967439,1.7099002980387457,90.0,3
755,219,1.444212453645589,0.4693065708922246,1.5636356775846474,1.1590515673741537,0.6003137485789343,83.33333333333334,3
764,62,0.5984992358423905,0.5623427192362302,1.4640694481260608,0.8749704677348937,0.5104948872875293,78.33333333333333,3
806,149,-0.06235218060821848,0.5761792016350377,1.7469169528325175,0.753581324619779,0.9175877801251321,76.66666666666667,2
481,110,0.2778756964518249,0.4397508775776711,1.1372126243880587,0.6182797328058516,0.45663924824803925,71.66666666666667,3
342,153,0.3870975481224635,0.8699458223146072,0.49816791255521436,0.585070427664095,0.2528826789674805,71.66666666666667,3
633,185,0.5587643051947087,0.024129155531466003,-0.1073515787872607,0.15851396064630466,0.3528059659467014,55.00000000000001,2
1145,79,-0.15787519056666705,-0.2764728958700557,0.7007224596496213,0.08879145773763286,0.5332551146042247,50.0,1
763,174,-1.8596153072398998,-0.19477671135416894,1.7348698102965172,-0.10650740276585043,1.7988675376960617,50.0,1
1183,60,0.33787586645963885,1.3100657562583111,-2.1655976014938396,-0.17255199292529655,1.7931707653852864,41.66666666666667,2
727,311,-1.7585210714712614,-0.04988095176828211,0.6567138120784363,-0.38389607038703577,1.2417787485209495,33.33333333333333,1
602,68,0.5319391961940658,1.549453438004364,-3.2620640522064517,-0.3935571393360073,2.535760781296383,33.33333333333333,2
805,135,-1.0968520540606919,0.19894854931521253,-1.053848212688771,-0.6505839058114168,0.7360308260041112,26.666666666666668,1
1163,31,-0.27844231052165497,0.12622332060969324,-2.0175716307245883,-0.7232635402121833,1.139018719393643,20.0,1
