channels,space,dim,top1,top5,auc,lift,chance_top1,within_study,n_windows,n_subjects
all,level,6,0.1487097632349029,0.3620643788241554,0.9172764571129006,31.055555555555554,0.004788507581803671,True,37590,1253
all,shape,864,0.06371375365788774,0.14514498536844905,0.668336364551946,13.305555555555557,0.004788507581803671,True,37590,1253
all,raw,864,0.0650438946528332,0.16645384410747538,0.748557494044324,13.583333333333332,0.004788507581803671,True,37590,1253
all,quantile,33,0.17259909550412345,0.3842245277999468,0.9216302393710787,36.044444444444444,0.004788507581803671,True,37590,1253
all,acf,108,0.022905027932960894,0.07815908486299548,0.6489309813566985,4.783333333333333,0.004788507581803671,True,37590,1253
all,spectrum,48,0.07472732109603618,0.22133546155892525,0.8612676558344272,15.605555555555554,0.004788507581803671,True,37590,1253
CGM,level,2,0.010933758978451716,0.04926842245277999,0.6657911096387639,2.283333333333333,0.004788507581803671,True,37590,1253
CGM,shape,288,0.017265230114392127,0.06339451981910083,0.6259895872886387,3.605555555555556,0.004788507581803671,True,37590,1253
CGM,raw,288,0.02638999733971801,0.09244479914870976,0.6977535233405667,5.511111111111111,0.004788507581803671,True,37590,1253
CGM,quantile,11,0.014684756584197925,0.06094706038840117,0.6911219111996635,3.0666666666666664,0.004788507581803671,True,37590,1253
CGM,acf,36,0.007688214950784783,0.03687150837988827,0.5772969191998696,1.6055555555555554,0.004788507581803671,True,37590,1253
CGM,spectrum,16,0.012928970470869912,0.05445597233306731,0.6690677782338839,2.7,0.004788507581803671,True,37590,1253
basal,level,2,0.14291034849694068,0.2665336525671721,0.8730816558928611,29.844444444444445,0.004788507581803671,True,37590,1253
basal,shape,288,0.12269220537376962,0.18688480978983774,0.6510933834205443,25.622222222222224,0.004788507581803671,True,37590,1253
basal,raw,288,0.1728385208832136,0.2576483107209364,0.7736766051874086,36.09444444444444,0.004788507581803671,True,37590,1253
basal,quantile,11,0.29326948656557594,0.473317371641394,0.9259130866503709,61.24444444444444,0.004788507581803671,True,37590,1253
basal,acf,36,0.08121840915137005,0.12423516892790636,0.6525218544200586,16.961111111111112,0.004788507581803671,True,37590,1253
basal,spectrum,16,0.09968076616121309,0.1773077946262304,0.8088211551177308,20.816666666666666,0.004788507581803671,True,37590,1253
bolus,level,2,0.02604416068103219,0.09606278265496143,0.7690140105546088,5.438888888888889,0.004788507581803671,True,37590,1253
bolus,shape,288,0.022851822293163074,0.0698856078744347,0.5667788585231808,4.772222222222222,0.004788507581803671,True,37590,1253
bolus,raw,288,0.022027134876296886,0.0664804469273743,0.5448324098740296,4.6,0.004788507581803671,True,37590,1253
bolus,quantile,11,0.01223729715349827,0.052620377760042567,0.6223761529616805,2.5555555555555554,0.004788507581803671,True,37590,1253
bolus,acf,36,0.013913274807129556,0.048842777334397444,0.563996540309345,2.9055555555555554,0.004788507581803671,True,37590,1253
bolus,spectrum,16,0.02415536046820963,0.08172386272944931,0.7085226047372297,5.044444444444444,0.004788507581803671,True,37590,1253
