channels,space,dim,top1,top5,auc,lift,n_windows,n_subjects
all,level,2,0.003436167544519689,0.013744670178078755,0.6862520435390924,4.566666666666666,39870,1329
all,shape,288,0.004163531477301229,0.01562578379734136,0.6356865007056065,5.533333333333333,39870,1329
all,raw,288,0.009781790820165538,0.031126160020065213,0.7194401193940547,13.0,39870,1329
all,quantile,11,0.003987960872836719,0.01743165287183346,0.7156325641165112,5.3,39870,1329
all,acf,36,0.0018811136192626034,0.007850514171055931,0.591583999655507,2.5,39870,1329
all,spectrum,16,0.004790569350388764,0.017757712565838978,0.7140109346339458,6.366666666666667,39870,1329
