subject,equal_adjacent_frac
1,0.1672473867595819
1,0.05226480836236934
1,0.13588850174216027
1,0.14982578397212543
1,0.18815331010452963
1,0.14634146341463414
1,0.1916376306620209
1,0.13240418118466898
1,0.10452961672473868
1,0.024390243902439025
1,0.0313588850174216
1,0.04529616724738676
1,0.04878048780487805
1,0.059233449477351915
1,0.027874564459930314
1,0.017421602787456445
1,0.07665505226480836
1,0.024390243902439025
1,0.03484320557491289
1,0.03484320557491289
1,0.04878048780487805
1,0.04878048780487805
1,0.020905923344947737
1,0.10801393728222997
1,0.10452961672473868
1,0.08710801393728224
1,0.08710801393728224
1,0.08013937282229965
1,0.059233449477351915
1,0.1254355400696864
1,0.11498257839721254
1,0.05226480836236934
1,0.13240418118466898
1,0.0627177700348432
1,0.07317073170731707
1,0.13240418118466898
1,0.08013937282229965
1,0.09059233449477352
1,0.10104529616724739
1,0.0627177700348432
1,0.10104529616724739
1,0.0975609756097561
1,0.10104529616724739
1,0.1254355400696864
1,0.10801393728222997
1,0.09407665505226481
1,0.10801393728222997
1,0.09407665505226481
1,0.06620209059233449
1,0.10104529616724739
1,0.14634146341463414
1,0.11498257839721254
1,0.14285714285714285
1,0.06620209059233449
1,0.0
1,0.013937282229965157
1,0.013937282229965157
1,0.006968641114982578
1,0.003484320557491289
1,0.0
1,0.003484320557491289
1,0.003484320557491289
1,0.0
1,0.017421602787456445
1,0.006968641114982578
1,0.010452961672473868
1,0.006968641114982578
1,0.003484320557491289
1,0.0
1,0.010452961672473868
1,0.0
1,0.0
1,0.013937282229965157
1,0.003484320557491289
1,0.0
1,0.0
1,0.0
1,0.003484320557491289
1,0.0
1,0.0
1,0.0
1,0.0
1,0.010452961672473868
1,0.003484320557491289
1,0.006968641114982578
1,0.003484320557491289
1,0.006968641114982578
1,0.006968641114982578
1,0.0
1,0.003484320557491289
1,0.003484320557491289
1,0.0
1,0.003484320557491289
1,0.013937282229965157
1,0.013937282229965157
1,0.0
1,0.0
1,0.003484320557491289
1,0.0
1,0.003484320557491289
1,0.0
1,0.0
1,0.003484320557491289
1,0.006968641114982578
1,0.003484320557491289
1,0.03484320557491289
1,0.05574912891986063
1,0.08362369337979095
1,0.06968641114982578
1,0.07665505226480836
1,0.05574912891986063
1,0.08013937282229965
1,0.059233449477351915
1,0.06620209059233449
1,0.10104529616724739
1,0.05574912891986063
1,0.05226480836236934
1,0.0975609756097561
1,0.10801393728222997
1,0.10104529616724739
1,0.07665505226480836
1,0.041811846689895474
1,0.04529616724738676
1,0.08362369337979095
1,0.10452961672473868
1,0.10452961672473868
1,0.0975609756097561
1,0.0627177700348432
1,0.10452961672473868
1,0.10104529616724739
1,0.041811846689895474
1,0.10104529616724739
1,0.06620209059233449
1,0.15331010452961671
1,0.07317073170731707
1,0.07665505226480836
1,0.10452961672473868
1,0.06968641114982578
1,0.10104529616724739
1,0.10104529616724739
1,0.07665505226480836
1,0.11149825783972125
1,0.09407665505226481
1,0.06968641114982578
1,0.07665505226480836
1,0.07665505226480836
1,0.08013937282229965
1,0.08362369337979095
1,0.04529616724738676
1,0.03832752613240418
1,0.07665505226480836
1,0.08013937282229965
1,0.059233449477351915
1,0.04529616724738676
1,0.0627177700348432
1,0.0975609756097561
1,0.07665505226480836
1,0.05226480836236934
1,0.059233449477351915
1,0.0975609756097561
1,0.10104529616724739
1,0.08362369337979095
1,0.05574912891986063
1,0.07317073170731707
1,0.1602787456445993
1,0.09407665505226481
1,0.08710801393728224
1,0.07317073170731707
1,0.07665505226480836
1,0.0627177700348432
1,0.10801393728222997
1,0.05226480836236934
1,0.09059233449477352
1,0.06968641114982578
1,0.05574912891986063
1,0.17770034843205576
1,0.10452961672473868
1,0.059233449477351915
1,0.09407665505226481
1,0.07665505226480836
1,0.07317073170731707
1,0.09059233449477352
1,0.11846689895470383
1,0.09059233449477352
1,0.05574912891986063
1,0.0627177700348432
1,0.05574912891986063
1,0.11149825783972125
1,0.11149825783972125
1,0.14982578397212543
1,0.10104529616724739
1,0.0627177700348432
1,0.12195121951219512
1,0.17421602787456447
1,0.08013937282229965
1,0.08362369337979095
1,0.13240418118466898
1,0.11149825783972125
1,0.1254355400696864
1,0.10104529616724739
1,0.14982578397212543
1,0.07665505226480836
1,0.10104529616724739
1,0.05574912891986063
1,0.11498257839721254
1,0.17073170731707318
1,0.11498257839721254
1,0.16376306620209058
1,0.10452961672473868
1,0.20905923344947736
10,0.156794425087108
10,0.1951219512195122
10,0.2857142857142857
10,0.2787456445993031
10,0.16376306620209058
10,0.20209059233449478
10,0.18118466898954705
10,0.14285714285714285
10,0.24738675958188153
10,0.1289198606271777
10,0.1602787456445993
10,0.11846689895470383
10,0.1602787456445993
10,0.1289198606271777
10,0.08710801393728224
10,0.14982578397212543
10,0.17073170731707318
10,0.14982578397212543
10,0.14634146341463414
10,0.17421602787456447
10,0.10104529616724739
10,0.21602787456445993
10,0.20557491289198607
10,0.13937282229965156
10,0.14982578397212543
10,0.11498257839721254
10,0.12195121951219512
10,0.27526132404181186
10,0.23344947735191637
10,0.24041811846689895
10,0.313588850174216
10,0.3170731707317073
10,0.313588850174216
10,0.3205574912891986
10,0.29965156794425085
10,0.21951219512195122
10,0.3693379790940767
10,0.2961672473867596
10,0.3344947735191638
10,0.313588850174216
10,0.313588850174216
10,0.41114982578397213
10,0.27526132404181186
10,0.17421602787456447
10,0.21254355400696864
10,0.24390243902439024
10,0.28222996515679444
10,0.2613240418118467
10,0.313588850174216
10,0.3205574912891986
10,0.11149825783972125
10,0.0975609756097561
10,0.14285714285714285
10,0.11149825783972125
10,0.10801393728222997
10,0.17421602787456447
10,0.156794425087108
10,0.13240418118466898
10,0.1289198606271777
10,0.08013937282229965
10,0.07665505226480836
10,0.11149825783972125
10,0.17073170731707318
10,0.11846689895470383
10,0.11846689895470383
10,0.0975609756097561
10,0.10801393728222997
10,0.1986062717770035
10,0.1289198606271777
10,0.13937282229965156
10,0.1289198606271777
10,0.1254355400696864
10,0.13240418118466898
10,0.15331010452961671
10,0.11149825783972125
10,0.0975609756097561
10,0.0975609756097561
10,0.13937282229965156
10,0.08013937282229965
10,0.10452961672473868
10,0.09407665505226481
10,0.08013937282229965
10,0.11846689895470383
10,0.08013937282229965
10,0.11846689895470383
10,0.1602787456445993
10,0.07665505226480836
10,0.027874564459930314
10,0.0627177700348432
10,0.11149825783972125
10,0.14285714285714285
10,0.14285714285714285
10,0.14285714285714285
10,0.17770034843205576
