channels,space,dim,top1,top5,auc,lift,n_windows,n_subjects
all,level,2,0.0044952380952380955,0.018361904761904763,0.6700290726817042,3.9333333333333336,26250,875
all,shape,288,0.005752380952380952,0.022133333333333335,0.6177452762340634,5.033333333333333,26250,875
all,raw,288,0.012114285714285715,0.0408,0.6942030293124115,10.6,26250,875
all,quantile,11,0.00499047619047619,0.0224,0.6940459409393048,4.366666666666666,26250,875
all,acf,36,0.003085714285714286,0.0136,0.5846495804729215,2.7,26250,875
all,spectrum,16,0.006628571428571429,0.02944761904761905,0.7042589953143729,5.800000000000001,26250,875
