combo,subjects,days,pct_of_cgm
CGM,1329,201700,1.0
CGM+basal,1262,179499,0.9495861550037622
CGM+insulin,1276,186481,0.9601203912716328
CGM+basal+bolus,1253,175476,0.9428141459744168
CGM+basal+bolus+carbs,945,133718,0.7110609480812641
CGM+basal+bolus+carbs+insulin,945,133715,0.7110609480812641
