replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,24,0.7465277777777778,0.6822916666666666,0.8333333333333334,0.9583333333333334,4.172325134277344e-07,0.039698971047376595,0.04445532507573565,5741
1,DCLP5/81,outlier,4,0.625,0.25,1.0,0.75,0.1875,0.1482855360955,0.15068610571324825,5741
1,DCLP3/91,outlier,10,0.66,0.55,0.82,0.9,0.001953125,0.16076183766126634,0.1762142777442932,5741
1,Loop/633,outlier,5,0.72,0.4,1.0,0.8,0.0625,0.1783022940158844,0.19654451608657836,5741
1,DCLP5/52,outlier,9,0.6666666666666666,0.6172839506172839,0.8395061728395061,1.0,0.001953125,0.16970164411597782,0.18993467092514038,5741
1,Loop/100,outlier,5,0.68,0.36,1.0,0.8,0.0625,0.14444260001182557,0.156635183095932,5741
1,Loop/19,outlier,14,0.5459183673469388,0.46938775510204084,0.6479591836734694,0.6428571428571429,0.0147705078125,0.14995272776910237,0.16160920315555163,5741
1,Loop/1153,outlier,19,0.5373961218836565,0.5124653739612188,0.5928670360110799,0.8421052631578947,0.0003948211669921875,0.05405686776104726,0.05501502379775047,5741
1,Loop/342,outlier,5,0.6,0.36,0.84,0.8,0.09375,0.05541697964072227,0.05665854066610336,5741
1,Loop/467,outlier,11,0.5702479338842975,0.5785123966942148,0.6613636363636353,1.0,0.00048828125,0.062051604755900124,0.06377322599291801,5741
1,Loop/727,outlier,22,0.5289256198347108,0.5082644628099173,0.5764462809917356,0.8181818181818182,0.0004706382751464844,0.09743935191495852,0.09850229864770715,5741
1,Loop/1120,outlier,4,0.625,0.625,0.8125,1.0,0.0625,0.056272721849381924,0.05787582229822874,5741
1,Loop/968,outlier,5,0.52,0.32,0.76,0.6,0.21875,0.07379396334290504,0.0742713376879692,5741
1,Loop/317,control,24,0.5069444444444444,0.4774305555555556,0.5381944444444444,0.5416666666666666,0.20305603742599487,0.10505514033138752,0.10539060179144144,5741
1,DCLP3/114,control,4,0.5,0.1875,0.8125,0.5,0.4375,0.14305262081325054,0.14511344954371452,5741
1,DCLP3/111,control,10,0.55,0.48,0.67,0.8,0.0419921875,0.10620146095752717,0.10789328962564468,5741
1,DCLP3/135,control,5,0.52,0.32,0.76,0.6,0.5,0.07219869270920753,0.07205945923924446,5741
1,DCLP3/102,control,9,0.5555555555555556,0.49382716049382713,0.6790123456790124,0.8888888888888888,0.037109375,0.11037974887424046,0.1127658627099461,5741
1,DCLP3/171,control,5,0.52,0.32,0.76,0.6,0.21875,0.08337479680776597,0.08381173610687256,5741
1,DCLP3/134,control,14,0.47959183673469385,0.4030612244897959,0.5510204081632653,0.5,0.45159912109375,0.10175624436565808,0.10193220845290593,5741
1,Loop/1116,control,19,0.5124653739612188,0.47368421052631576,0.559626038781163,0.631578947368421,0.1562042236328125,0.10453318804502487,0.10523170781762976,5741
1,DCLP3/43,control,5,0.48,0.24,0.68,0.4,0.40625,0.1016521155834198,0.10216601192951202,5741
1,DCLP3/10,control,11,0.5206611570247934,0.4297520661157025,0.6198347107438017,0.5454545454545454,0.232421875,0.09587866609746759,0.09703582322055643,5741
1,Loop/1071,control,22,0.5165289256198347,0.4896694214876033,0.5578512396694215,0.6818181818181818,0.025036334991455078,0.10282213139263066,0.10362280837514183,5741
1,DCLP3/144,control,4,0.5,0.1875,0.8125,0.5,0.3125,0.13279549591243267,0.13356886990368366,5741
1,DCLP3/68,control,5,0.56,0.36,0.76,0.8,0.15625,0.0996878281235695,0.10084818750619888,5741
